Point,Fokontany,Commune,District,Region
Anjiamavo 12 H,Andilamihoatra,Tsaratanana I,Port-Berge (Boriziny-Vaovao),Sofia
Anjiamena 10 B,Ramena,Ramena,Antsiranana II,Diana
Anjiamena 11 B,Ampandriankilandy,Mahavanona,Antsiranana II,Diana
Anjiamenatoka 10 A,Antananivo Ambatofotsy,Matsondakana,Befandriana Nord,Sofia
Anjibitika 10 C,Andovoka,Antonibe,Analalava,Sofia
Anjijabe 10 F,Marosava,Ranomafana Est,Brickaville,Atsinanana
Anjindravy 10 B,Midongy Afovoany,Alakamisy Itenina,Vohibato,Haute Matsiatra
Anjingo 10 E,Anjingo,Analamaho,Sambava,Sava
Anjingorabe 10 A,Ambolamena,Tambohorano,Maintirano,Melaky
Anjinjabe A 10,Maromitety,Mahela,Antanambao Manampontsy,Atsinanana
Anjinjamamy 10 B,Ampaho,Tsarasambo,Vatomandry,Atsinanana
Anjinjaomby 10 F,Anjinjaomby,Anjinjaomby,Sambava,Sava
Anjinjatsara 10 A,Vohijiny,Manompana,Soanierana Ivongo,Analanjirofo
Anjiojio 10 B,Mandramba,Ankazoabo Sud,Ankazoabo,Atsimo Andrefana
Anjira 10 C,Anjira,Antaritarika,Tsihombe,Androy
Anjiro 10 A,Tsiazompaniry,Merikanjaka,Manjakandriana,Analamanga
Anjiro 11 A,Maromandia,Marokarima,Mananjary,Vatovavy Fitovinany
Anjiro 12 A,Ambodiampaly,Amporoforo,Toamasina II,Atsinanana
Anjiro 13 A,Ambodihazomamy,Andondabe,Toamasina II,Atsinanana
Anjiro 14 B,Ankasina,Andilanatoby,Ambatondrazaka,Alaotra Mangoro
Anjiro 15 B,Anjiro,Tanambao Besakay,Ambatondrazaka,Alaotra Mangoro
Anjiro 16 B,Ambatomanolotra,Andaingo,Moramanga,Alaotra Mangoro
Anjiro 17 B,Ambodilahoaty,Ilaka Est,Vatomandry,Atsinanana
Anjiro 18 B,Anjiro,Marotandrano,Mandritsara,Sofia
Anjiro 19 B,Antanetilava II,Ambodimanga II,Fenerive Est,Analanjirofo
Anjiro 20 B,Tanandava,Toamasina Suburbaine,Toamasina II,Atsinanana
Anjiro 21 C,Ambohimanjaka,Amparatanjona,Anjozorobe,Analamanga
Anjiro 22 D,Anjiro,Ambohibe,Vavatenina,Analanjirofo
Anjiro 23 V,Anjiro,Sabotsy Anjiro,Moramanga,Alaotra Mangoro
Anjirobaka 10 A,Ambohimandroso,Ambohitrarivo,Amparafaravola,Alaotra Mangoro
Anjirobaka 11 H,Anjirobaka,Manakambahiny Andrefana,Ambatondrazaka,Alaotra Mangoro
Anjirolahy 10 A,Antsevabe,Didy,Ambatondrazaka,Alaotra Mangoro
Anjirovato B 10,Anjirovato,Amporoforo,Toamasina II,Atsinanana
Anjiva 10 D,Mananatanana,Ikalamavony,Ikalamavony,Haute Matsiatra
Anjobajoba 10 I,Anjobajoba,Anosinalainolona,Marovoay,Boeny
Anjobatenina-Ambany 10 B,Maetsamainty,Ambolidibe Est,Befandriana Nord,Sofia
Anjobatenina-Ambony 10 C,Maetsamainty,Ambolidibe Est,Befandriana Nord,Sofia
Anjohibe 10 B,Antanantanana,Ankarongana,Befandriana Nord,Sofia
Anjohibe 11 C,Anjohibe,Ambatosia,Bealanana,Sofia
Anjohibe 12 F,Ambohijanahary,Didy,Ambatondrazaka,Alaotra Mangoro
Anjohikaranga 10 A,Mananarahely,Ambodimanga II,Fenerive Est,Analanjirofo
Anjoho 10 A,Ampatramary,Ranotsara Sud,Befotaka,Atsimo Atsinanana
Anjoho 11 B,Adabodo,Vatolatsaka,Betioky Atsimo,Atsimo Andrefana
Anjohobe 10 D,Beroroha I,Ambinany,Sakaraha,Atsimo Andrefana
Anjohy 10 A,Antanetibe Ouest,Andranovelona,Ambatolampy,Vakinankaratra
Anjohy 11 B,Anjohy,Ankazondandy,Manjakandriana,Analamanga
Anjohy 12 D,Maroaboaly,Soaloka,Miandrivazo,Menabe
Anjokozoko 10 A,Antafia,Manaratsandry,Marovoay,Boeny
Anjokozoko 11 B,Mahatsinjo Komadio,Bemokotra,Maevatanana,Betsiboka
Anjokozoko 12 D,Anjokozoko,Andriamena,Tsaratanana,Betsiboka
Anjolakarongana A 10,Ambohitsara,Miorimivalana,Fenerive Est,Analanjirofo
