Point,Fokontany,Commune,District,Region
Ambohibato 17 C,Sahasoa Itomboana,Isorana,Isandra,Haute Matsiatra
Ambohibato 18 C,Ambatomena,Anjoma,Ambalavao,Haute Matsiatra
Ambohibato 19 C,Antsahamaina Est,Manjakandriana,Manjakandriana,Analamanga
Ambohibato 20 D,Ambohibato,Ambatomirahavavy,Arivonimamo,Itasy
Ambohibato 21 V,Ambohibato,Ambohimanambola,Antananarivo Avaradrano,Analamanga
Ambohibazaha 10 C,Andraravola,Ankadinandriana,Antananarivo Avaradrano,Analamanga
Ambohibazaha 11 E,Ambalavao,Antsoatany,Antsirabe II,Vakinankaratra
Ambohibazana 10 A,Amparihivola,Fierenana,Moramanga,Alaotra Mangoro
Ambohibazimba 10 B,Ambatonilaisoa,Andranomiady,Faratsiho,Vakinankaratra
Ambohibazoina 10 C,Ambohibazoina,Anjozorobe,Anjozorobe,Analamanga
Ambohibe 10 A,Ambohitrakely,Dondona,Soavinandriana,Itasy
Ambohibe 11 A,Sahafoza,Anosy Tsararafa,Farafangana,Atsimo Atsinanana
Ambohibe 12 A,Marovato,Marovato,Andilamena,Alaotra Mangoro
Ambohibe 13 A,Fierenana Ambohibe,Didy,Ambatondrazaka,Alaotra Mangoro
Ambohibe 14 B,Miadanarivo,Fenoarivo Centre,Fenoarivobe,Bongolava
Ambohibe 15 B,Andrefanalatsinainy,Ambatomanjaka,Miarinarivo,Itasy
Ambohibe 16 B,Ranoroahina,Mahatsinjony,Lalangina,Haute Matsiatra
Ambohibe 17 B,Marovato,Ambalavolo,Vatomandry,Atsinanana
Ambohibe 18 B,Ambilamaina,Ambalarondra,Brickaville,Atsinanana
Ambohibe 19 B,Ambatoharanana,Daraina,Vohemar,Sava
Ambohibe 20 B,Tanandava,Anjangoveratra,Sambava,Sava
Ambohibe 21 C,Ankiranomena,Morafenobe,Morafenobe,Melaky
Ambohibe 22 C,Ampohibe,Ambohitrolomahitsy,Manjakandriana,Analamanga
Ambohibe 23 C,Ampotaka,Mangamila,Anjozorobe,Analamanga
Ambohibe 24 C,Ambohibe,Ambohitrandriamanitra,Manjakandriana,Analamanga
Ambohibe 25 D,Ambohibe,Mahitsy,Ambohidratrimo,Analamanga
Ambohibe 26 E,Ampanikely,Ambohitrambo,Arivonimamo,Itasy
Ambohibe 27 V,Ambohibe,Antongo Vaovao,Morombe,Atsimo Andrefana
Ambohibe 28 A,Andranomavo,Vohilava,Nosy-Varika,Vatovavy Fitovinany
Ambohibe 29 C,Tsaravinany,Ambodilafa,Nosy-Varika,Vatovavy Fitovinany
Ambohibehivavy 10 C,Kianjasoa Atsimondapa,Ambohibary,Antsirabe II,Vakinankaratra
Ambohibehivavy 11 E,Ankararana,Manalalondo,Arivonimamo,Itasy
Ambohibelom 10 B,Mangasoavina,Talata Angavo,Ankazobe,Analamanga
Ambohibeloma 10 B,Manirisoa,Mahavelona,Ankazobe,Analamanga
Ambohibeloma 11 D,Ambohibeloma,Sandrandahy,Fandriana,Amoron I Mania
Ambohibeloma 12 F,Miadamanjaka,Ambatomanga,Arivonimamo,Itasy
Ambohibelona 10 A,Antambiazina,Amparaky,Soavinandriana,Itasy
Ambohibelona 11 B,Ambohibeloma,Anjozorobe,Anjozorobe,Analamanga
Ambohibelona 12 C,Fieferana,Ambohitromby,Ankazobe,Analamanga
Ambohibelona 13 C,Manakana,Miarinarivo,Andilamena,Alaotra Mangoro
Ambohibemanjaka 10 F,Ambohibemanjaka,Alarobia Vatosola,Andramasina,Analamanga
Ambohibemasoand 10 V,Ambohibemasoandro,Ambohitrolomahitsy,Manjakandriana,Analamanga
Ambohibengibe 10 B,Ambohibengy,Sarobaratra,Tsaratanana,Betsiboka
Ambohibinato 10 A,Ambalarano,Soaloka,Miandrivazo,Menabe
Ambohibitaka A 10,Anivorano,Tsiatosika,Mananjary,Vatovavy Fitovinany
Ambohibo 10 C,Ifandana Est,Anjoma,Ambalavao,Haute Matsiatra
Ambohiboahangy 10 A,Andranonomby,Ambohimalaza Miray,Antananarivo Avaradrano,Analamanga
Ambohiboahangy 11 B,Maroadabokely,Brieville,Tsaratanana,Betsiboka
Ambohiboahangy 12 C,Fidirana,Fidirana,Mandoto,Vakinankaratra
Ambohiboahangy 13 C,Ambohiboahangy,Ampanotokana,Ambohidratrimo,Analamanga
Ambohiboahangy 14 C,Ambohiboahangy,Ambodifarihy Fenomanana,Ambatolampy,Vakinankaratra
Ambohiboahangy 15 C,Ambohitrandriana,Sabotsy Manjakavahoaka,Andramasina,Analamanga
Ambohiboahangy 16 D,Antanifisaka,Antambolo,Arivonimamo,Itasy
Ambohiboahangy 17 F,Ambohibohangy,Ambohitsimanova,Antsirabe II,Vakinankaratra
Ambohiboahangy 18 I,Ambohiboahangy,Antanetibe,Ambohidratrimo,Analamanga
Ambohiboanjo 10 A,Ampamaho,Soavimbazaha,Miarinarivo,Itasy
Ambohiboanjo 11 D,Miakotsorano,Ambatomirahavavy,Arivonimamo,Itasy
Ambohiboanjo 12 D,Ambohipasika,Ambohijanahary,Amparafaravola,Alaotra Mangoro
Ambohiboanjo 13 F,Ambohiboanjo,Antambolo,Arivonimamo,Itasy
Ambohiboasary 10 E,Vohimanombo,Ambovombe Centre,Manandriana,Amoron I Mania
Ambohiboatavo 10 G,Ambohiboatavo,Ampitatsimo,Ambatondrazaka,Alaotra Mangoro
Ambohibohoka 10 A,Ambohidray,Morarano Gara,Moramanga,Alaotra Mangoro
Ambohibokiny 10 B,Tsaramiafara,Anosibe Ifody,Moramanga,Alaotra Mangoro
Ambohibola 10 A,Antohobe,Antohobe,Betafo,Vakinankaratra
Ambohibola 11 B,Befaritra,Soavinandriana,Soavinandriana,Itasy
Ambohibola 12 B,Mangabe,Antotohazo,Ankazobe,Analamanga
Ambohibola 13 B,Ankaraobato,Andranomamy,Ambato Boeni,Boeny
Ambohibola 14 B,Analabe,Amboasary,Moramanga,Alaotra Mangoro
Ambohibola 15 C,Andranomavo,Analavory,Miarinarivo,Itasy
Ambohibola 16 C,Ambohibolakely,Fidirana,Mandoto,Vakinankaratra
Ambohibola 17 C,Bemasoandro Nord,Ampanotokana,Ambohidratrimo,Analamanga
Ambohibola 18 C,Ambohibola,Amboasary,Moramanga,Alaotra Mangoro
Ambohibola 19 C,Anjialava,Amboaboa,Mandritsara,Sofia
Ambohibola 20 A,Ambalavary,Marotandrano,Mandritsara,Sofia
Ambohibola 21 A,Andranomahita,Fiadanana,Nosy-Varika,Vatovavy Fitovinany
Ambohibolafotsy 10 E,Ankafobalo,Tatamalaza,Fandriana,Amoron I Mania
Ambohibolakely 10 A,Ambohibolakely,Morarano Gara,Moramanga,Alaotra Mangoro
Ambohibolakely 11 B,Miantsoarivo I,Ambohitromby,Ankazobe,Analamanga
Ambohibolamena 10 B,Manomboarivo,Tanamarina Sakay,Ikalamavony,Haute Matsiatra
Ambohibolava 10 A,Miadakofeno,Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava
Ambohibolava 11 C,Andasibe,Bemavo,Beroroha,Atsimo Andrefana
Ambohibolo 10 A,Soavimbahoaka,Fiadanana,Ankazobe,Analamanga
Ambohibolo 11 C,Tanambao Ambohibola,Bekapaika,Tsaratanana,Betsiboka
Ambohibolo 12 D,Tanambao Ambohibola,Bekapaika,Tsaratanana,Betsiboka
Ambohibololona 10 B,Bejofo,Soavimbazaha,Miarinarivo,Itasy
Ambohibololona 11 C,Ambohimiadana Nord,Tsiafahy,Antananarivo Atsimondrano,Analamanga
Ambohibololona 12 D,Ambohimifangitra Ouest,Ambanitsena,Manjakandriana,Analamanga
Ambohibololona 13 H,Ambohibololona,Tsiafahy,Antananarivo Atsimondrano,Analamanga
Ambohibonato 10 E,Firifiry,Marovandrika,Farafangana,Atsimo Atsinanana
Ambohibongo 10 D,Benavony,Benavony,Ambanja,Diana
Ambohiboribe 10 F,Andranofotsy,Antsaravibe,Ambilobe,Diana
Ambohiborikely 10 B,Ambatoharanana,Antsaravibe,Ambilobe,Diana
Ambohiborikely 11 D,Ambatofotsy Est,Bemahatazana,Tsiroanomandidy,Bongolava
Ambohiborisoa 10 A,Antokolava,Mahazony,Ambalavao,Haute Matsiatra
Ambohiboromanga 10 E,Miadamanjaka,Ambatomanga,Arivonimamo,Itasy
Ambohiborona 10 C,Besoa,Besoa,Ambalavao,Haute Matsiatra
Ambohiborona 11 E,Anosinalainolona,Anosinalainolona,Marovoay,Boeny
Ambohibory 10 A,Ambalamirarisoa,Nasandratrony,Isandra,Haute Matsiatra
Ambohibory 11 A,Ankarenana,Ambalakindresy,Ambohimahasoa,Haute Matsiatra
Ambohibory 12 A,Ambohibory,Ambohimisafy,Ikongo,Vatovavy Fitovinany
Ambohibory 13 A,Fenoarivo,Ampasimalemy,Vangaindrano,Atsimo Atsinanana
Ambohibory 14 A,Mantalimaro Andrefana,Ambilobe,Ambilobe,Diana
Ambohibory 15 A,Ambohibory,Antsoha,Antsiranana II,Diana
Ambohibory 16 B,Antanimena Manody,Fanjakana,Isandra,Haute Matsiatra
Ambohibory 17 B,Andakatoposa,Esira,Amboasary-Atsimo,Anosy
Ambohibory 18 B,Ambohibolamena,Andranovorivato,Vohibato,Haute Matsiatra
Ambohibory 19 B,Tambohosoa Monongona,Mahaditra,Vohibato,Haute Matsiatra
Ambohibory 20 B,Ambalavao Fihahia,Mahaditra,Vohibato,Haute Matsiatra
Ambohibory 21 B,Andakatoposa,Esira,Amboasary-Atsimo,Anosy
Ambohibory 22 B,Maroaomby,Ambatosoa,Ambohimahasoa,Haute Matsiatra
Ambohibory 23 B,Ambohibarihena I,Mahasoabe,Vohibato,Haute Matsiatra
Ambohibory 24 B,Andranolava II,Mahatsinjony,Lalangina,Haute Matsiatra
Ambohibory 25 B,Midongy Est,Ankaromalaza Mifanasoa,Vohibato,Haute Matsiatra
Ambohibory 26 C,Vahambe,Vohimarina,Vohibato,Haute Matsiatra
Ambohibory 27 C,Tsimaitohasoa,Kirano,Ambalavao,Haute Matsiatra
Ambohibory 28 C,Fatakanina,Andrainjato Est,Lalangina,Haute Matsiatra
Ambohibory 29 C,Ambatazana,Mahatsinjony,Lalangina,Haute Matsiatra
Ambohibory 30 C,Midongy Est,Ankaromalaza Mifanasoa,Vohibato,Haute Matsiatra
Ambohibory 31 C,Foromia,Masianaka,Vangaindrano,Atsimo Atsinanana
Ambohibory 32 D,Tambohonierana,Manamisoa,Ambalavao,Haute Matsiatra
Ambohibory 33 D,Ankazosoaravina,Anjoma,Ambalavao,Haute Matsiatra
Ambohibory 34 D,Lalangina,Iarintsena,Ambalavao,Haute Matsiatra
Ambohibory 35 D,Analamboarafy,Ambohinamboarina,Ambohimahasoa,Haute Matsiatra
Ambohibory 36 D,Ankerana,Ankerana,Ambohimahasoa,Haute Matsiatra
Ambohibory 37 D,Tambohivo Ambohimaha,Alakamisy Ambohimaha,Lalangina,Haute Matsiatra
Ambohibory 38 D,Ambohibory,Mangaoka,Antsiranana II,Diana
Ambohibory 39 E,Vinanitelo Centre,Vinanitelo,Vohibato,Haute Matsiatra
Ambohibory 40 E,Maromaniry,Bemanondrobe,Nosy-Be,Diana
Ambohibory 41 F,Sangasanga,Andranovorivato,Vohibato,Haute Matsiatra
Ambohibory 42 G,Ambohibory Moralina,Mahaditra,Vohibato,Haute Matsiatra
Ambohibory 43 G,Ambohibory Andrefana,Alakamisy Ambohimaha,Lalangina,Haute Matsiatra
Ambohibory 44 V,Ambohimanarivo,Manandroy,Ambohimahasoa,Haute Matsiatra
Ambohibotetaka 10 B,Antanisoa,Morafeno,Arivonimamo,Itasy
Ambohiby 10 B,Marolaona,Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava
Ambohiby 11 V,Ambohiby,Ambohitrandriamanitra,Manjakandriana,Analamanga
Ambohidahy 10 A,Mandrosoa,Soamahamanina,Miarinarivo,Itasy
Ambohidahy 11 B,Ambongamaranitra,Andranofasika,Ambato Boeni,Boeny
Ambohidahy 12 E,Ambohidahy,Ambohimanga Rova,Antananarivo Avaradrano,Analamanga
Ambohidahy 13 E,Ambohidahy,Mantasoa,Manjakandriana,Analamanga
Ambohidahy 14 D,Alarobia Vatosola,Alarobia Vatosola,Andramasina,Analamanga
Ambohidandy 10 D,Ambohidandy,Mantasoa,Manjakandriana,Analamanga
Ambohidanerana 10 C,Antanetibe,Antsahalalina,Manjakandriana,Analamanga
Ambohidanerana 11 V,Ambohidanerana,Soavinandriana,Soavinandriana,Itasy
Ambohidatsika 10 E,Ambohidatsika,Manohisoa,Betafo,Vakinankaratra
Ambohidava 10 A,Korosovola,Antohobe,Betafo,Vakinankaratra
Ambohidava 11 A,Mahatsinjo,Firavahana,Fenoarivobe,Bongolava
Ambohidava 12 A,Vohidrazana,Didy,Ambatondrazaka,Alaotra Mangoro
Ambohidava 13 B,Ampandrabe,Jangany,Betroka,Anosy
Ambohidava 14 B,Fenoarivo Mahazina,Ankisabe,Soavinandriana,Itasy
Ambohidava 15 B,Tsarahonenana,Masindray,Antananarivo Avaradrano,Analamanga
Ambohidava 16 B,Antanitsara,Merikanjaka,Manjakandriana,Analamanga
Ambohidava 17 C,Mangarivotra,Andolofotsy,Miarinarivo,Itasy
Ambohidava 18 C,Ambohitrivahoaka,Ambohitrambo,Arivonimamo,Itasy
Ambohidava 19 C,Antanetikely,Arivonimamo II,Arivonimamo,Itasy
Ambohidava 20 C,Fihasinana,Ankadinandriana,Antananarivo Avaradrano,Analamanga
Ambohidava 21 C,Ambohidava,Soavinandriana,Manjakandriana,Analamanga
Ambohidava 22 C,Fiarenana,Anjozorobe,Anjozorobe,Analamanga
Ambohidava 23 C,Antanetibe,Ankazondandy,Manjakandriana,Analamanga
Ambohidava 24 C,Ambohidava Sud,Antsahalalina,Manjakandriana,Analamanga
Ambohidava 25 D,Ambohimandroso,Alatsinainikely,Miarinarivo,Itasy
Ambohidava 26 D,Ambohimpianarantsoa,Antsampanimahazo,Faratsiho,Vakinankaratra
Ambohidava 27 D,Ambohidava,Ambatolampy,Ambohidratrimo,Analamanga
Ambohidava 28 D,Amboasary Nord,Amboasary Nord,Anjozorobe,Analamanga
Ambohidava 29 F,Ambohidava,Amboasary,Moramanga,Alaotra Mangoro
Ambohidava 30 G,Ambohidava,Ambatosoratra,Ambatondrazaka,Alaotra Mangoro
Ambohidava 31 V,Ambohidava,Ampatana Mandriankeniheny,Antsirabe I,Vakinankaratra
Ambohidava 32 V,Antongombato Est,Mahitsy,Ambohidratrimo,Analamanga
Ambohidava 33 V,Ambohidava,Mahereza,Ambohidratrimo,Analamanga
Ambohidava 34 V,Ambohidava,Ambohimandry,Arivonimamo,Itasy
Ambohidava 35 V,Ambohipihaonana,Ambohipihaonana,Ambatolampy,Vakinankaratra
Ambohidava 36 A,Sahamadio,Lakato,Moramanga,Alaotra Mangoro
Ambohidavaka 10 A,Ambohidrakitra,Merimandroso,Ambohidratrimo,Analamanga
Ambohidavakely 10 C,Ambohidavakely,Ambatosoratra,Ambatondrazaka,Alaotra Mangoro
Ambohidavenona 10 B,Ankadivory,Ambohipandrano,Arivonimamo,Itasy
Ambohidavenona 11 G,Ambohibao,Antambolo,Arivonimamo,Itasy
Ambohidaza 10 C,Tomboarivo,Ambondromisotra,Ambatofinandrahana,Amoron I Mania
Ambohidaza 11 C,Ambohidaza,Ambohimiera,Ifanadiana,Vatovavy Fitovinany
Ambohidazaina 10 F,Ampasika,Ambatomanga,Arivonimamo,Itasy
Ambohidehibe 10 D,Ambohidehibe,Alakamisikely,Arivonimamo,Itasy
Ambohidehibe 11 I,Betaolana,Amboanana,Arivonimamo,Itasy
Ambohidehilahy 10 E,Ambohidehilahy,Manakambahiny Andrefana,Ambatondrazaka,Alaotra Mangoro
Ambohidemoka 10 A,Ambodidimaka,Amborondolo,Mandritsara,Sofia
Ambohidempona 10 C,Ankazongoaika,Ambohibary Vohilena,Anjozorobe,Analamanga
Ambohidempona 11 C,Antanetibe,Ankazondandy,Manjakandriana,Analamanga
Ambohidenona 10 B,Ambohidrainony,Fiadanana,Ambohimahasoa,Haute Matsiatra
Ambohidiatafana 10 B,Befotaka,Anosimparihy,Mananjary,Vatovavy Fitovinany
Ambohididy 10 V,Soamonina,Ambohidranandriana,Antsirabe II,Vakinankaratra
Ambohidivoara 10 A,Andonabe,Lohariandava,Brickaville,Atsinanana
Ambohidobo 10 A,Fierenana,Fierenana,Moramanga,Alaotra Mangoro
Ambohidobo 11 A,Amparihivola,Fierenana,Moramanga,Alaotra Mangoro
Ambohidono 10 B,Tsianaloka,Ankilizato,Mahabo,Menabe
Ambohidrabiby 10 D,Ambodifahitra,Talata Volonondry,Antananarivo Avaradrano,Analamanga
Ambohidrabiby 11 F,Ambohimiadana II,Imerintsiatosika,Arivonimamo,Itasy
Ambohidrafito 10 C,Ambohibary,Ambohitrandriamanitra,Manjakandriana,Analamanga
Ambohidrafy 10 I,Ambahondrano,Belambo Firaisana,Ambatolampy,Vakinankaratra
Ambohidrahay 10 E,Ambohidrahay,Belo Sur Tsiribihina,Belo Sur Tsiribihina,Menabe
Ambohidrahazo 10 V,Mantasoa,Mantasoa,Manjakandriana,Analamanga
Ambohidraidimy 10 E,Antamboho II,Imerintsiatosika,Arivonimamo,Itasy
Ambohidrainikady 10 B,Ambohimanatrika,Anjanadoria,Ambohidratrimo,Analamanga
Ambohidrainimanga 10 B,Andranovelona,Sadabe,Manjakandriana,Analamanga
Ambohidrainingodona 10 A,Mahajijakely,Zoma Bealoka,Miarinarivo,Itasy
Ambohidrakitra 10 B,Tsarahonenana,Kiangara,Ankazobe,Analamanga
Ambohidrakitra 11 D,Ambohidrakitra,Ambatomanoina,Anjozorobe,Analamanga
Ambohidrakitra 12 C,Ambohidrakitra,Mahazoarivo,Fandriana,Amoron I Mania
Ambohidralambo 10 A,Ampasika,Amboasary Nord,Anjozorobe,Analamanga
Ambohidralambo 11 A,Manandriana,Ambohimiadana,Andramasina,Analamanga
Ambohidramanalina 10 B,Marogoaika,Ankazomiriotra,Mandoto,Vakinankaratra
Ambohidramanalina 11 E,Morafeno Andrefana,Anjoma Ramartina,Mandoto,Vakinankaratra
Ambohidramena 10 D,Betambatra,Manjakandriana,Manjakandriana,Analamanga
Ambohidramingory 10 B,Antsentsidranovato,Imerintsiatosika,Arivonimamo,Itasy
Ambohidramizay 10 D,Antsampanimahazo,Ambatomanga,Arivonimamo,Itasy
Ambohidranady 10 A,Mantasoa,Mantasoa,Manjakandriana,Analamanga
Ambohidranandriana 10 V,Miarinarivo,Ambohidranandriana,Antsirabe II,Vakinankaratra
Ambohidrangahy 10 A,Ambatofotsy,Amboanana,Arivonimamo,Itasy
Ambohidrangahy 11 B,Amparaky,Amparaky,Soavinandriana,Itasy
Ambohidrangahy 12 D,Antanimasaka,Merikanjaka,Manjakandriana,Analamanga
Ambohidrangoro 10 A,Ambohidrangory,Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava
Ambohidrano 10 A,Talatan'antoby,Ambohimasina,Betafo,Vakinankaratra
Ambohidrano 11 A,Ambatotsaraorina,Mahavelona,Ankazobe,Analamanga
Ambohidrano 12 A,Ambatomanjaka,Mahabo,Ambohidratrimo,Analamanga
Ambohidrano 13 A,Talatamaty,Tanana Ambany,Fianarantsoa I,Haute Matsiatra
Ambohidrano 14 A,Ambohitrerana,Ambohitrolomahitsy,Manjakandriana,Analamanga
Ambohidrano 15 B,Ambohidrano,Andolofotsy,Miarinarivo,Itasy
Ambohidrano 16 B,Masindray Est,Fihaonana,Ankazobe,Analamanga
Ambohidrano 17 B,Morafeno,Ambohibary Vohilena,Anjozorobe,Analamanga
Ambohidrano 18 B,Ambohidrano Atsinanana,Viliahazo,Antananarivo Avaradrano,Analamanga
Ambohidrano 19 B,Ambohidrano Nord,Behenjy,Ambatolampy,Vakinankaratra
Ambohidrano 20 B,Ambohijanaka,Miadanandriana,Manjakandriana,Analamanga
Ambohidrano 21 C,Ambohidrano,Antanimandry,Antsirabe II,Vakinankaratra
Ambohidrano 22 C,Ankerana,Sadabe,Manjakandriana,Analamanga
Ambohidrano 23 C,Ambohitsara Be,Onilahy,Manakara Atsimo,Vatovavy Fitovinany
Ambohidrano 24 D,Mahitsy,Ambatomanga,Arivonimamo,Itasy
Ambohidrano 25 D,Alakamisy Antsapanimahazo,Ampahimanga,Arivonimamo,Itasy
Ambohidrano 26 H,Ambinanindrano I,Angodongodona,Nosy-Varika,Vatovavy Fitovinany
Ambohidrano 27 V,Ambohidrano,Sabotsy Namehana,Antananarivo Avaradrano,Analamanga
Ambohidranomano 10 F,Ambohidranomanga,Ambatomirahavavy,Arivonimamo,Itasy
Ambohidranovita 10 C,Andolofotsy,Andolofotsy,Miarinarivo,Itasy
Ambohidraofo 10 A,Soafandry,Anjoma Nandihizana,Manandriana,Amoron I Mania
Ambohidraondriana 10 D,Befieranana,Anjozorobe,Anjozorobe,Analamanga
Ambohidraondriana 11 D,Ambohidraondriana,Merikanjaka,Manjakandriana,Analamanga
Ambohidraondriana 12 E,Mangatany Avaratra,Sadabe,Manjakandriana,Analamanga
Ambohidraondriana Ambany 10 C,Ambohidraondriana,Antotohazo,Andramasina,Analamanga
Ambohidraondriana Ambony 10 D,Ambohidraondriana,Antotohazo,Andramasina,Analamanga
Ambohidrapeto 10 V,Ambohidrapeto,Ambohidrapeto,Antananarivo Atsimondrano,Analamanga
Ambohidrasoly 10 C,Morafeno,Antsoha,Ihosy,Ihorombe
Ambohidratoany 10 C,Amparihilavan'antsaharoa,Anjoman'ankona,Manandriana,Amoron I Mania
Ambohidratrimo 10 A,Analaroa,Analaroa,Anjozorobe,Analamanga
Ambohidravaka 10 B,Antambiazina,Amparaky,Soavinandriana,Itasy
Ambohidravaka 11 B,Vohitrarivo,Vohitrarivo,Ambohimahasoa,Haute Matsiatra
Ambohidravaka 12 B,Ambohidravaka,Antanetibe,Ambohidratrimo,Analamanga
Ambohidravaka 13 C,Soanafindra,Soavina,Ambatofinandrahana,Amoron I Mania
Ambohidravaka 14 C,Tadio I,Fandriana,Fandriana,Amoron I Mania
Ambohidravaka 15 E,Fiadanana,Sahamadio Fisakana,Fandriana,Amoron I Mania
Ambohidravaka 16 V,Milamaina,Milamaina,Fandriana,Amoron I Mania
Ambohidravoay 10 A,Miadana,Ampasipotsy Mandialaza,Moramanga,Alaotra Mangoro
Ambohidravoka 10 A,Ambohidravaka,Tsarazaza,Fandriana,Amoron I Mania
Ambohidray 10 A,Ambatomitsangana,Ambohibary Vohilena,Anjozorobe,Analamanga
Ambohidray 11 A,Manazary,Ranovao,Manjakandriana,Analamanga
Ambohidray 12 B,Andrianana,Antanimandry,Antsirabe II,Vakinankaratra
Ambohidray 13 B,Ambohidray,Manakana,Tsaratanana,Betsiboka
Ambohidray 14 C,Antampondravola,Fidirana,Mandoto,Vakinankaratra
Ambohidray 15 C,Antohobe,Antohobe,Betafo,Vakinankaratra
Ambohidray 16 D,Ambohidrony,Morarano Chrome,Amparafaravola,Alaotra Mangoro
Ambohidray 17 F,Ambohidray,Morarano Gara,Moramanga,Alaotra Mangoro
Ambohidray 18 G,Antanimarina,Ankadinandriana,Antananarivo Avaradrano,Analamanga
Ambohidrazaka 10 E,Mandritsara Fiarahamiasa,Ambohibary,Antsirabe II,Vakinankaratra
Ambohidrazana 10 A,Androvakely,Soamalaza Mahatsinjo,Antsirabe I,Vakinankaratra
Ambohidrazana 11 B,Mahatsinjo,Firavahana,Fenoarivobe,Bongolava
Ambohidrazana 12 B,Alarobia,Alarobia,Manjakandriana,Analamanga
Ambohidrazana 13 C,Anjanakambony,Masindray,Soavinandriana,Itasy
Ambohidrazana 14 C,Mahatsinjo,Alasora,Antananarivo Avaradrano,Analamanga
Ambohidrazana 15 D,Atsimoniala,Ambatomiady,Antanifotsy,Vakinankaratra
Ambohidrazana 16 E,Antanibe,Arivonimamo I,Arivonimamo,Itasy
Ambohidrazana 17 E,Ampitanomby,Imerintsiatosika,Arivonimamo,Itasy
Ambohidrazana Est 10 C,Soavina,Miantso,Ankazobe,Analamanga
Ambohidrazana Ouest 10 B,Andriateiara,Miantso,Ankazobe,Analamanga
Ambohidreisola 10 C,Antanetilava,Arivonimamo II,Arivonimamo,Itasy
Ambohidreniandro 10 A,Antsahamaina Est,Manjakandriana,Manjakandriana,Analamanga
Ambohidrenindranokely 10 B,Andriantsampana,Mahabo,Ambohidratrimo,Analamanga
Ambohidreny 10 F,Ambohibary,Analaroa,Anjozorobe,Analamanga
Ambohidriana 10 B,Ankisompy,Komajia,Mampikony,Sofia
Ambohidrivotra 10 A,Anosibe Centre,Anosibe Ifanja,Miarinarivo,Itasy
Ambohidrivotra 11 D,Ambohidrivotra,Ambohibary Vohilena,Anjozorobe,Analamanga
Ambohidroa 10 A,Tsaralazaina,Soavina,Nosy-Varika,Vatovavy Fitovinany
Ambohidroa 11 B,Miadanarivo,Fenoarivo Centre,Fenoarivobe,Bongolava
Ambohidroa 12 B,Ankotrabe,Analavory,Miarinarivo,Itasy
Ambohidroa 13 B,Madiokororoka,Fihaonana,Ankazobe,Analamanga
Ambohidroa 14 B,Ambohikambana,Ambohimiarivo,Antsirabe II,Vakinankaratra
Ambohidroa 15 B,Ambohimarina Andrefana,Ambohimanjaka,Ambohidratrimo,Analamanga
Ambohidroa 16 B,Sabotsy,Sabotsy Manjakavahoaka,Andramasina,Analamanga
Ambohidroa 17 C,Ambohikambana,Ambohimiarivo,Antsirabe II,Vakinankaratra
Ambohidroa 18 D,Ambohidroa,Mahazony,Ambalavao,Haute Matsiatra
Ambohidroa 19 F,Ankalapatana,Antanimasaka,Ambatolampy,Vakinankaratra
Ambohidroa 20 H,Ambohidroa,Ambohitromby,Ankazobe,Analamanga
Ambohidroa 21 V,Ambohidroa,6e Arrondissement,6e Arrondissement,Analamanga
Ambohidroalahy 10 H,Antsobolo,Ambohimandry,Arivonimamo,Itasy
Ambohidrofia 10 B,Sabotsy,Sabotsy Anjiro,Moramanga,Alaotra Mangoro
Ambohidronono 10 A,Mariarano,Marondry,Ankazobe,Analamanga
Ambohidronono 11 B,Miadamanjaka,Androvakely,Anjozorobe,Analamanga
Ambohidronono 12 C,Mahitsitady,Ambatolaona,Manjakandriana,Analamanga
Ambohidronono 13 D,Ambohidronono,Ambakireny,Tsaratanana,Betsiboka
Ambohidronono 14 D,Antananambony,Amboasary,Moramanga,Alaotra Mangoro
Ambohidronono 15 G,Morombato (ambohijatovo),Alatsinainy Ambazaha,Antananarivo Atsimondrano,Analamanga
Ambohidronoro 10 C,Ambohidronono,Ambohidronono,Moramanga,Alaotra Mangoro
Ambohidroy A 10,Ambohimiarina I,Tsiatosika,Mananjary,Vatovavy Fitovinany
Ambohierenana 10 E,Ambohimihaza,Ranovao,Manjakandriana,Analamanga
Ambohifito 10 A,Amboaifito,Saharefo,Manakara Atsimo,Vatovavy Fitovinany
Ambohihadera 10 B,Tsinjorano,Manakana,Tsaratanana,Betsiboka
Ambohijafimahantra 10 E,Tsaramandroso,Soavina,Ambatofinandrahana,Amoron I Mania
Ambohijafy 10 A,Korosovola,Antohobe,Betafo,Vakinankaratra
Ambohijafy 11 A,Antotohazo,Antotohazo,Ankazobe,Analamanga
Ambohijafy 12 A,Kianjanarivo,Arivonimamo II,Arivonimamo,Itasy
Ambohijafy 13 A,Mahabo,Mandiavato,Miarinarivo,Itasy
Ambohijafy 14 A,Manankasina,Miarinarivo II,Miarinarivo,Itasy
Ambohijafy 15 A,Fiantsonana,Imerintsiatosika,Arivonimamo,Itasy
Ambohijafy 16 B,Ambohijafy,Talata Angavo,Ankazobe,Analamanga
Ambohijafy 17 B,Mandiavato,Mandiavato,Miarinarivo,Itasy
Ambohijafy 18 B,Antanetilava,Ampahimanga,Arivonimamo,Itasy
